Transaction  #,Transaction Date,Transaction Month,Transaction Year,Item  #,Style  #,Description,VendorModel1,Vendor Name,Qty,Inventory Cost,Sales Amount,Disc Amt,Total,Store,Department,Design,Class,Sub-Class,Image Dir.,AvgWeight,Pay Codes,,
AR-10292089,46245,8,2026,231681,MEMO-EVEF-7099VA44W0,"10KT""BELLA.BY.OVANI""  LABGROWN DIAMOND HOOPS EARRINGS",MEMO-EVEF-7099VA44W0,HRSH,1,176,1999,1585.21,413.79,VJ-ARDN,EARRINGS,BELLA OVAN,10KT,HOOPS,\209513.jpg,2,"VJA-CC,",,
AR-10292089,46245,8,2026,ITEM,ITEM,APP//TL1,,,1,0,0,0,0,VJ-ARDN,,,,,,0,"VJA-CC,",,
ON-10292260,46245,8,2026,232257,MV053W,"14KT""NOVELLO-COLLECTION""  LABGROWN DIAMOND OVAL BAND",MV053W,VSU,1,727,8199,6559.2,1639.8,VJ-ONT,LADYS RING,NOVELLO,14KT,7,\232257.jpeg,4.3,"VJON-CC,",,
ON-10292260,46245,8,2026,ITEM,ITEM,APP RM7/SM2,,,1,0,0,0,0,VJ-ONT,,,,,,0,"VJON-CC,",,
ON-10292260,46245,8,2026,MLB-LT-2000,MB,"Mulberry Lifetime Care Plan ($1,500-$1,999.99)",,,1,132,329.99,0,329.99,VJ-ONT,,,,,,0,"VJON-CC,",,
VS-10292072,46245,8,2026,MLB-LT-6000,MB,"Mulberry Lifetime Care Plan ($5,000-$5,999.99)",,,1,259.6,648.99,0,648.99,VJ-SERRA,,,,,,0,"VJS-IDDEAL,",,
VS-10292072,46245,8,2026,218845,RDM28369A-1,"18KT""OVANI-FUSION""  IGI CERT LABGROWN DIAMOND CNTR ROUND BRIDAL RING",RDM28369A,GM,1,1473,19995,13996,5999,VJ-SERRA,LADYS RING,OVANIFUSIO,18KT,6.5,,6,"VJS-IDDEAL,",,
VS-10292072,46245,8,2026,ITEM,ITEM,IDDEAL 60/0,,,1,0,0,0,0,VJ-SERRA,,,,,,0,"VJS-IDDEAL,",,
SL-10294461,46245,8,2026,196383,682-00125,18KT 2TONE-GOLD CRUCIFIX CROSS PENDANT,682-00125,SFCO,1,524,2620,1200,1420,DE-SOUTH,GOLD PNDTS,GOLD JEWL,18KT,CROSS,\196383.jpg,4,"DES-IDDEAL,",,
SR-10291407,46245,8,2026,224591-18,VAL 040 DST-2,"SILVER ""LINKNLOCK"" VALENTINO CHAIN ( NO WARRANTY )",VAL 040 DST,COAR,1,18,126,26,100,VJ-S.ROSA,SLVR CHAIN,LINKNLOCK,-,18,,2.5,"VJSR-CASH,",,
PA-10001503,46245,8,2026,225392-18,028-10061-1,14KT YELLOW-GOLD CZ PAPERCLIP CHAIN (NO WARRANTY),028-10061,SFCO,1,773,3863,2065.25,1797.75,VJ-PALM,GOLD CHAIN,GOLD JEWL,14KT,18,\225392-18.jpeg,7.5,"VJPD-ACIMA,",,
PA-10001503,46245,8,2026,ITEM,ITEM,APP/SM2  FIN/ACIMA  3/0,,,1,0,0,0,0,VJ-PALM,,,,,,0,"VJPD-ACIMA,",,
VL-10291162,46245,8,2026,231519-24,UKHL100013-6,10KT YELLOW-GOLD HLW PAVE MIAMI CUBAN CHAIN,UKHL100013,SFCO/KGS,1,1125,5625,3810.94,1814.06,VJ-LIV,GOLD CHAIN,GOLD JEWL,10KT,24,\208635-20.jpg,15,"VJL-CC,",,
VL-10291162,46245,8,2026,ITEM,ITEM,APP AJ,,,1,0,0,0,0,VJ-LIV,,,,,,0,"VJL-CC,",,
LO-10002447,46245,8,2026,233689Y,RL256309LW-1,"10KT""BELLA.BY.OVANI""  LABGROWN DIAMOND KNOTTED LADYS RING",RL256309LW,PNT,1,203,2299,1883.29,415.71,VJ-LONG,LADYS RING,BELLA OVAN,10KT,7,\233689.jpg,2.2,"VJLV-CC,",,
LO-10002447,46245,8,2026,MLB-1Y-500,MB,Mulberry 12 Month Care Plan ($400-$499.99),,,1,20,49.99,0,49.99,VJ-LONG,,,,,,0,"VJLV-CC,",,
ON-10292254,46245,8,2026,226257-S,MRF01001011,"SILVER LABGROWN DIAMOND LOVE-SPELL  INITIAL ""L""  RING",MRF01001011,MHVR,1,20,119,0,119,VJ-ONT,LADYS RING,LOVE,"""--""",INITIAL,\226257-S.jpg,1.9,"VJON-CC,",,
ON-10292254,46245,8,2026,ITEM,ITEM,APP RM7/SM2,,,1,0,0,0,0,VJ-ONT,,,,,,0,"VJON-CC,",,
ON-10292254,46245,8,2026,228777S,MBR01500327,SILVER LABGROWN DIAMOND LOVE-SPELL BOLO TENNIS BRACELET,MBR01500327,MHVR,1,43,249,0,249,VJ-ONT,LADYS BRCL,LOVE,"""--""",7,\228777S.jpg,3.2,"VJON-CC,",,
VF-10292890,46245,8,2026,179257,TR-046-6,TUNGSTEN CARBIDE BAND 7MM,TR-046,JD,1,10,299,148.56,150.44,VJ-FRE,TUNGS BAND,,,8.5,\173348.jpg,0,"VJF-CC,",,
VF-10292890,46245,8,2026,ITEM,ITEM,App Lv/Aj,,,1,0,0,0,0,VJ-FRE,,,,,,0,"VJF-CC,",,
SA-10292226,46245,8,2026,231705,MEMO-EVPC-0448VA44W0BC,"10KT ""LABGROWN DIAMOND"" CROSS HEART PENDANT",MEMO-EVPC-0448VA44W0BC,HRSH,1,293,3299,2501,798,VJ-SAL,PENDANT,NOVELLO,10KT,CROSS,\188787.jpg,1.5,"VJSL-SYNCY,",,
SA-10292226,46245,8,2026,ITEM,ITEM,SYNCHRONY24/0 1-800-333-1082,,,1,0,0,0,0,VJ-SAL,,,,,,0,"VJSL-SYNCY,",,
SA-10292226,46245,8,2026,MLB-LT-1000,MB,Mulberry Lifetime Care Plan ($800-$999.99),,,1,91.6,228.99,0.81,228.18,VJ-SAL,,,,,,0,"VJSL-SYNCY,",,
SL-10294466,46245,8,2026,ITEM,ITEM,ITEM:00523: em1006-200c-wld:2.00cw lab grown solitare studs,,,1,0,5299,3799.38,1499.62,DE-SOUTH,,,,,,0,"DES-CASH,DES-IDDEAL,",,
SL-10294466,46245,8,2026,ITEM,ITEM,ITEM:00509: pm10291-100c-eld : 14k wg lab grown pendant,,,1,0,3599,2566.85,1032.15,DE-SOUTH,,,,,,0,"DES-CASH,DES-IDDEAL,",,
SL-10294466,46245,8,2026,204572,ER-LGE+RBC1.00-329,"14KT""NOVELLO-COLLECTION""  AGI CERT LABGROWN DIAMOND RBC 4-PRONG SOLITAIRE STUDS",ER-LGE+RBC1.00,SNFLR,1,191,2999,2099.3,899.7,DE-SOUTH,EARRINGS,NOVELLO,SOL STUDS,1.00 CARAT,\204572.jpg,1.15,"DES-CASH,DES-IDDEAL,",,
VM-10293264,46245,8,2026,ITEM,ITEM,IDD 6/0 APP/AJ,,,1,0,0,0,0,VJ-MOD,,,,,,0,"VJM-IDDEAL,",,
VM-10293264,46245,8,2026,240304,NUGGET.CROSS. RING-2,10KT YELLOW-GOLD NUGGET CROSS MENS RING (NO WARRANTY),NUGGET.CROSS. RING,SAF,1,375,4125,3298.4,826.6,VJ-MOD,GENTS RING,GOLD JEWL,10K,NUGGET,\240304.jpeg,5,"VJM-IDDEAL,",,
DB-10000150,46245,8,2026,202851,DY190340-S-W-WH,SILVER LOVE-SPELL CZ PENDANT,DY190340-S-W-WH,DLM,1,10,46,0,46,VJ-DEER,SILVER PDT,LOVE,"""--""",,\DY190340.JPG,0,"DB-CC,",,
VL-10291163,46245,8,2026,234131,NUGGET.G.STUDS-7,10KT YELLOW-GOLD HEART NUGGET STUDS EARRINGS (NO WARRANTY),NUGGET.G.STUDS-7,SAF,1,113,563,213,350,VJ-LIV,GOLD HOOPS,GOLD JEWL,10K,NUGGET,,1.5,"VJL-CC,",,
SR-10291403,46245,8,2026,233034Y,RL252103W-1,"10KT""BELLA.BY.OVANI""  LABGROWN DIAMOND""  OVAL PROMISE RING",RL252103W,PNT,1,97,1099,699,400,VJ-S.ROSA,LADYS RING,BELLA OVAN,10KT,7,\233034.jpg,1,"VJSR-CASH,",,
GM-10293185,46245,8,2026,ITEM,ITEM,app/aj,,,1,0,0,0,0,DBC-GM,,,,,,0,"GM-CC,",,
GM-10293185,46245,8,2026,224143WY,EVRE-22000VBSA44W4-1,"14KT""NOVELLO-COLLECTION""  LABGROWN DIAMOND HALO PROMISE RING",EVRE-22000VBSA44W4,HRSH,1,394,4599,3599,1000,DBC-GM,LADYS RING,NOVELLO,14KT,7,\224143.jpg,3.25,"GM-CC,",,
ON-10292261,46245,8,2026,162088Y,CO-P184195-1,14KT FRESHWATER PEARL PENDANT,CO-P184195,PNT,-1,399,-4799,-3787.51,-1011.49,VJ-ONT,BP,B STONE,PEARL,BIRTHSTONE,\162088y.jpg,2.85,"VJON-IDEAL,",,
ON-10292261,46245,8,2026,232690Y,5N1586EM-1,14KT”AANIKA.V”  EMERALD 0.50CT CIRCLE PENDANT,5N1586EM,GS,1,637,7099,5600,1499,VJ-ONT,BP,AANIKA.V,EMERALD,BIRTHSTONE,\232690.jpg,3.3,"VJON-IDEAL,",,
ON-10292261,46245,8,2026,ITEM,ITEM,APP RM7/SM2  IDEAL 12/0,,,1,0,0,0,0,VJ-ONT,,,,,,0,"VJON-IDEAL,",,
PB-10291580,46245,8,2026,042429605244,98B458,BULOVA SUPER SEVILLE WATCH,98B458,BULOVA,1,368.12,795,146.5,648.5,VJ-PB,BULOVA,WATCH,MENS,BATTERY,\98B458.jpg,0,"VJPB-CC,",,
PB-10291580,46245,8,2026,250000,250000,Covered Battery-Embedded (CBE) Recycling Fee,,TCI,1,0,9.76,0,9.76,VJ-PB,,WATCH,,,,0,"VJPB-CC,",,
PB-10291580,46245,8,2026,ITEM,ITEM,APP MS3,,,1,0,0,0,0,VJ-PB,,,,,,0,"VJPB-CC,",,
VR-102291249,46245,8,2026,238532-22,BA17767/GR,"SS""LINKNLOCK"" FRANCO CHAIN",BA17767/GR,SRH,1,8,69,0,69,VJ-ROSE,SS CHAIN,LINKNLOCK,-,CUBAN,\238532.png,30,"VJR-CC,",,
VL-10291165,46245,8,2026,209625,RR180092-5,"10KT""NOVELLO-COLLECTION""  LABGROWN DIAMOND 7-STONE ILLUSION GENTS RING",RR180092,PNT,1,527,5995,4453.05,1541.95,VJ-LIV,GENTS RING,NOVELLO,10KT,10,\160785.jpg,5.69,"VJL-CC,",,
PA-10001504,46245,8,2026,227526-7.5,475-01370-7,"14KT""OROVENTI"" TRICOLOR-GOLD HEART CHARM BRACELET (NO WARRANTY)",475-01370-7,SFCO,1,597,1942,196.38,1745.62,VJ-PALM,GOLD ID,OROVENTI,14KT,7.5,\OTHER\475-01370-7-0.png,5.8,"VJPD-CC,",,
SR-10291405,46245,8,2026,217903,JRD155840G0WXLBQ4,"10KT""UV-NOVELLO"" LABGROWN DIAMOND 3-STONES EMERALD BRIDAL RING",JRD155840G0WXLBQ4,KMA,1,875,9995,8085.91,1909.09,VJ-S.ROSA,LADYS RING,NOVELLO,UV,7,\217903.JPG,4.2,"VJSR-KAFE,",,
SR-10291405,46245,8,2026,ITEM,ITEM,RESIZE TO 8. DELIVERY BY AUGUST 22ND,,,1,0,0,0,0,VJ-S.ROSA,,,,,,0,"VJSR-KAFE,",,
SR-10291406,46245,8,2026,ITEM,ITEM,SR-10291405. PAYMENT ON RING # 217903.,,,1,0,1345.46,0,1345.46,VJ-S.ROSA,,,,,,0,"VJSR-CC,",,
SR-10291406,46245,8,2026,MLB-LT-4000,MB,"Mulberry Lifetime Care Plan ($3,000-$3,999.99)",,,1,208,519.99,0,519.99,VJ-S.ROSA,,,,,,0,"VJSR-CC,",,
LO-10002446,46245,8,2026,237395Y,EVRB-11444VXA34W4-45,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND ROUND BRIDAL SET",EVRB-11444VXA34W4,HRSH,1,1163,13499,9850.04,3648.96,VJ-LONG,LADYS RING,NOVELLO,14KT,7,\225787.jpg,7.9,"VJLV-CASH,",,
BB-10000098,46245,8,2026,228486-24,1TN0W251657A001,"SS""LINKNLOCK"" BOX CHAIN",1TN0W251657A001,KRMA,1,12,69,0,69,VJ-BAY,SS CHAIN,LINKNLOCK,-,24,\228486-24.jpg,0,"BB - CC,",,
RE-10292523,46245,8,2026,ITEM,ITEM,CUSTOM CHEVRON ENHANCER (2 BANDS UNSOLDERED) IN PLATINUM SETTING WITH LAB GROWN DIAMONDS,,,1,0,4200,0,4200,VJ-RENO,,,,,,0,,,
RE-10292523,46245,8,2026,ITEM,ITEM,SMALL DIAMONDS ON THE SIDE | BIGGER DIAMOND IN THE MIDDLE,,,1,0,0,0,0,VJ-RENO,,,,,,0,,,
VF-10292891,46245,8,2026,ITEM,ITEM,App Lv/Aj,,,1,0,0,0,0,VJ-FRE,,,,,,0,"VJF-CC,",,
VF-10292891,46245,8,2026,7.31903E+11,YA1264029A,GUCCI WATCH,YA1264029A,GUCCI GROUP WATCHES.,1,753,1370,410.15,959.85,VJ-FRE,GUCCI,WATCH,MENS,,\YA1264029A.JPG,0,"VJF-CC,",,
ON-10292253,46245,8,2026,042429607538,98B467,BULOVA WATCH,98B467,BULOVA,1,282.62,595,0,595,VJ-ONT,BULOVA,WATCH,MENS,AUTOMATIC,\98B467.jpg,0,"VJON-ACIMA,",,
ON-10292253,46245,8,2026,ITEM,ITEM,APP RM7/SM2,,,1,0,0,0,0,VJ-ONT,,,,,,0,"VJON-ACIMA,",,
LO-10002444,46245,8,2026,238925,238925,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",LGE+MAR2.00,KRA,-1,557,-9995,-7685.53,-2309.47,VJ-LONG,LADYS RING,NOVELLO,SOL RING,2.00 CARAT,,0,"VJLV-CC,",,
LO-10002444,46245,8,2026,MLB-LT-2500,MB,"Mulberry Lifetime Care Plan ($2,000-$2,499.99)",,,1,155.2,387.99,0,387.99,VJ-LONG,,,,,,0,"VJLV-CC,",,
LO-10002444,46245,8,2026,ITEM,ITEM,#238925 14kt Novello Labgrown Diamond Ring,,,1,0,9995,7685.53,2309.47,VJ-LONG,,,,,,0,"VJLV-CC,",,
ST-10292491,46245,8,2026,236202Y,EVRE-25988VA34W0-1,"10KT""ETERNAL VOW""  LABGROWN DIAMOND PROMISE RING",EVRE-25988VA34W0,HRSH,1,310,3499,2699,800,DBC-STOCK,LADYS RING,NOVELLO,10KT,7,\236202.jpg,3.25,"DBCST-KAFE,",,
ST-10292491,46245,8,2026,ITEM,ITEM,KAFENE 855-206-4040 APP/TL,,,1,0,0,0,0,DBC-STOCK,,,,,,0,"DBCST-KAFE,",,
VF-10292888,46245,8,2026,ITEM,ITEM,Tungston Band #118917  Size 10/10.5,,,1,0,299,118.1,180.9,VJ-FRE,,,,,,0,"VJF-CC,",,
VF-10292888,46245,8,2026,ITEM,ITEM,App LV/Aj,,,1,0,0,0,0,VJ-FRE,,,,,,0,"VJF-CC,",,
VF-10292888,46245,8,2026,MLB-LT-200,MB,Mulberry Lifetime Care Plan ($100-$199.99),,,1,25.6,63.99,0,63.99,VJ-FRE,,,,,,0,"VJF-CC,",,
BB-10000095,46245,8,2026,ITEM,ITEM,ORDER RING IN STYLE OF 234764 WG ENG RING AND TWO YELLOW GOLD BANDS IN SAME STYLE.,,,1,0,6999.99,0,6999.99,VJ-BAY,,,,,,0,"BB-IDDEAL,BB-SYNC,",,
BB-10000095,46245,8,2026,216492,TR-1054,TUNGSTEN BAND 8MM,TR-1054,JD,1,12,299,0,299,VJ-BAY,TUNGS BAND,,,10,\216492.jpg,0,"BB-IDDEAL,BB-SYNC,",,
BB-10000095,46245,8,2026,CF66449PT10,CF66449PT10,"PLAT""OVANI-BY-BENCHMARK""  BAND 6MM",CF66449PT10,BENCHMARK,1,1403,6314,2113.99,4200.01,VJ-BAY,GOLD BANDS,DESIGNER,PLAT,10,\CF66449.JPG,0,"BB-IDDEAL,BB-SYNC,",,
BB-10000095,46245,8,2026,MLB-LT-8000,MB,"Mulberry Lifetime Care Plan ($6,000-$7,999.99)",,,1,296,739.99,0,739.99,VJ-BAY,,,,,,0,"BB-IDDEAL,BB-SYNC,",,
BB-10000095,46245,8,2026,MLB-LT-5000,MB,"Mulberry Lifetime Care Plan ($4,000-$4,999.99)",,,1,238.8,596.99,0,596.99,VJ-BAY,,,,,,0,"BB-IDDEAL,BB-SYNC,",,
RE-10288077,46245,8,2026,ITEM,ITEM,CUSTOM CHEVRON SHAPED NON SOLDERED PLATINUM RING GUARD WITH RING SIZE 5.5,,,-1,0,-4200,0,-4200,VJ-RENO,,,,,,0,,,
PA-10000003,46245,8,2026,169530,CO-E196165W-R,14KT”AANIKA.V” 3.15-CT RUBY EARRINGS,CO-E196165W-R,PNT,-1,262,-3199,-2569.79,-629.21,VJ-PALM,BE,AANIKA.V,RUBY,BIRTHSTONE,\169530.jpg,0,,,
PA-10000003,46245,8,2026,ITEM,ITEM,SPO 169530y Exchange yellow for white,,,-1,0,0,0,0,VJ-PALM,,,,,,0,,,
PA-10000003,46245,8,2026,ITEM,ITEM,app tm1 / Finance Flexpay 6mo/0,,,-1,0,0,0,0,VJ-PALM,,,,,,0,,,
LO-10002443,46245,8,2026,238925,238925,"14KT""NOVELLO-COLLECTION""  IGI CERT LABGROWN DIAMOND SOLITAIRE RING",LGE+MAR2.00,KRA,1,557,9995,7685.53,2309.47,VJ-LONG,LADYS RING,NOVELLO,SOL RING,2.00 CARAT,,0,"VJLV-CC,",,
SL-10294462,46245,8,2026,ITEM,ITEM,SPO 10K YELLOW GOLD SL BAND 4MM SIZE 10,,,1,0,406.43,0,406.43,DE-SOUTH,,,,,,0,"DES-CC,",,
SL-10294462,46245,8,2026,ITEM,ITEM,SPO 10K YELLOW GOLD SL BAND 5MM SIZE 10.5,,,1,0,586.8,0,586.8,DE-SOUTH,,,,,,0,"DES-CC,",,
VV-10292332,46245,8,2026,ITEM,ITEM,SIZE RING TO 11  PLEASE 10K WG,,,1,0,310,0,310,VJ-VIS,,,,,,0,"VJV-CASH,",,
LO-10002445,46245,8,2026,ITEM,ITEM,SPO QG: 1Y672 - 10K YELLOW GOLD SINGLE THREADED BACK,,,3,0,200,0,200,VJ-LONG,,,,,,0,"VJLV-CC,",,
LO-10002445,46245,8,2026,ITEM,ITEM,EST TIME 1-2 WEEKS,,,1,0,0,0,0,VJ-LONG,,,,,,0,"VJLV-CC,",,
CH-10002457,46245,8,2026,223390,MRF05000464-6,"10KT""LABGROWN DIAMOND""  COMPOSITE HALO INFINITY RING",MRF05000464,MHVR,1,222,2499,1749.3,749.7,VJ-CHAND,LADYS RING,NOVELLO,ETERNAL-VOW,COMPOSITE,\186181.jpg,2.5,"VJCH-CC,",,
SL-10294463,46245,8,2026,ITEM,ITEM,10K YELLOW GOLD BAND SL 2MM SIZE 9,,,1,0,270.88,0,270.88,DE-SOUTH,,,,,,0,"DES-CC,",,
VB-80161722,46245,8,2026,202222,YG5178,14KT YELLOW PENDANT LOOP BAIL,YG5178,QUALITY GOLD,1,77,230,91.43,138.57,VJ-BAKER,TRAY,,,,\YG5178.JPG,0.4,"VJB-CASH,",,
LO-80000738,46245,8,2026,ITEM,ITEM,Jewelry Cleaning,,,1,0,20,0,20,VJ-LONG,,,,,,0,"VJLV-CC,",,
LO-80000717,46245,8,2026,ITEM,ITEM,EST TIME 1-2 WEEKS,,,1,0,0,0,0,VJ-LONG,,,,,,0,,,
LO-80000717,46245,8,2026,ITEM,ITEM,PLEASE RESIZE ROUND BRIDAL RING TO A SIZE 8,,,1,0,0,0,0,VJ-LONG,,,,,,0,,,
LO-80000705,46245,8,2026,ITEM,ITEM,2 Weeks Approximately,,,1,0,0,0,0,VJ-LONG,,,,,,0,"VJLV-CC,",,
LO-80000705,46245,8,2026,ITEM,ITEM,SPO QG - SS3389 - STERLING SILVER LOBSTER CLASP 12X7MM,,,1,0,40,0,40,VJ-LONG,,,,,,0,"VJLV-CC,",,
LO-80000716,46245,8,2026,ITEM,ITEM,TIGHTEN CENTER STONE,,,1,0,0,0,0,VJ-LONG,,,,,,0,"VJLV-CC,",,
LO-80000716,46245,8,2026,ITEM,ITEM,SIZE DOWN TO 4.5 - 14KT NOVELLO ROUND ENGAGEMENT RING,,,1,0,150,0,150,VJ-LONG,,,,,,0,"VJLV-CC,",,
LO-80000713,46245,8,2026,ITEM,ITEM,Solder Jump Ring on 14KY Figaro & Polish,,,1,0,50,0,50,VJ-LONG,,,,,,0,"VJLV-CC,",,
LO-80000713,46245,8,2026,ITEM,ITEM,Approximately 2 Weeks,,,1,0,0,0,0,VJ-LONG,,,,,,0,"VJLV-CC,",,
VO-80162153,46245,8,2026,JVO-201337,,DIAMOND TESTED-NO LASER INSCRIPTION SEEN,,,1,0,0,0,0,VJ-OAK,,,,,,,,,
VO-80162153,46245,8,2026,JVO-201336,,215824 WITH APPROX 2CT PRINCESS CUT STONE-STRAIGHTEN HEAD AND PRONGS,,,1,0,0,0,0,VJ-OAK,,,,,,,,,
VM-80162738,46245,8,2026,JVM-202286,,CLEAN ENG RING WG CLUSTER SQUARE SHAPE,,,1,0,0,0,0,VJ-MOD,,,,,,,,,
VM-80162166,46245,8,2026,JVM-201599,,SIZE 212643 TO 4 AND CHANGE HEAD TO TULIP 6 PRONG,,,1,0,0,0,0,VJ-MOD,,,,,,,,,
VB-80161728,46245,8,2026,JVB-200773,,SOLDER CHAIN,,,1,0,60,0,60,VJ-BAKER,,,,,,,"VJB-CC,",,
VM-80162746,46245,8,2026,JVM-202298,,132301y.. replace missing diamond,,,1,0,0,0,0,VJ-MOD,,,,,,,,,
VM-80162422,46245,8,2026,JVM-201898,,180377Y REPLACE MISSING DIAMONDS AND CLEAN DIAMONDS,,,1,0,0,0,0,VJ-MOD,,,,,,,,,
AR-80162306,46245,8,2026,JAR-201719,,SKU NO 215565Y NEED TO SIZE 5.5 APP SN,,,1,0,0,0,0,VJ-ARDN,,,,,,,,,
VO-80162166,46245,8,2026,JVO-201349,,battery replacement,,,1,0,35,0,35,VJ-OAK,,,,,,,"VJO-CC,",,
VM-80162639,46245,8,2026,JVM-202157,,REMOVE WATCH LINKS,,,1,0,20,0,20,VJ-MOD,,,,,,,"VJM-CASH,",,
VE-80161484,46245,8,2026,JVE-200704,,make the earring with the cross,,,1,0,0,0,0,VJ-EAST,,,,,,,,,
VM-80162530,46245,8,2026,JVM-202030,,222924 15 anos ring/ replace cz,,,1,0,0,0,0,VJ-MOD,,,,,,,,,
VM-80162303,46245,8,2026,JVM-201755,,211165Y.. CHECK CLASP AND ADJUST,,,1,0,0,0,0,VJ-MOD,,,,,,,,,
VO-80162163,46245,8,2026,JVO-201346,,SIZE GENTS RING TO SIZE 11 SKU#188818 (PART OF TRIO),,,1,0,0,0,0,VJ-OAK,,,,,,,,,
FA-80161172,46245,8,2026,JFA-200326,,resize 14k stamped band with white stones to 5-1/2,,,1,0,140,0,140,VJ-VAL,,,,,,,"VJVF-CC,",,
FA-80161172,46245,8,2026,JFA-200325,,resize 14k stamped ring with white stone center to 5-1/2,,,1,0,140,0,140,VJ-VAL,,,,,,,"VJVF-CC,",,
VE-80161491,46245,8,2026,JVE-200711,,remuved 7 links,,,1,0,0,0,0,VJ-EAST,,,,,,,,,
VL-80160928,46245,8,2026,JVL-200358,,JEWELRY TEST CHAIN,,,1,0,25,0,25,VJ-LIV,,,,,,,"VJL-CC,",,
VM-80162463,46245,8,2026,JVM-201950,,236826Y...SZ TO 9.25,,,1,0,0,0,0,VJ-MOD,,,,,,,,,
VM-80162489,46245,8,2026,JVM-201980,,195742Y.. REMOVE 3 LINKS,,,1,0,0,0,0,VJ-MOD,,,,,,,,,
VM-80162414,46245,8,2026,JVM-201889,,237718y size 6,,,1,0,0,0,0,VJ-MOD,,,,,,,,,
ST-80162816,46245,8,2026,JST-202225,,REPLACE 3 MISING LAB DIAMONDS,,,1,0,0,0,0,DBC-STOCK,,,,,,,,,
VS-80161836,46245,8,2026,JVS-201032,,Chain soulder,,,1,0,85,0,85,VJ-SERRA,,,,,,,"VJS-CC,",,
AR-80162308,46245,8,2026,JAR-201721,,226186 | TIGHTEN CENTER STONE + SOLDER CUBAN CHAIN,,,1,0,0,0,0,VJ-ARDN,,,,,,,,,
AR-80162308,46245,8,2026,JAR-201722,,NO CHARGE AS A ONE TIME COURTESY | ALI |,,,1,0,0,0,0,VJ-ARDN,,,,,,,,,
SL-80162878,46245,8,2026,JSL-202564,,"ROLEX STYLE BRACELET SOLDER 8""",,,1,0,89,0,89,DE-SOUTH,,,,,,,"DES-CC,",,
FA-80161170,46245,8,2026,JFA-200322,,STORE ITEM SKU:232881Y SOLDER CHAIN,,,1,0,0,0,0,VJ-VAL,,,,,,,,,
PA-80000461,46245,8,2026,JPA-199812,,SKU #213130 Size the ring to  7.5,,,1,0,0,0,0,VJ-PALM,,,,,,,,,
VS-80161835,46245,8,2026,JVS-201031,,Battery,,,1,0,55,0,55,VJ-SERRA,,,,,,,"VJS-CC,",,
VM-80162824,46245,8,2026,JVM-202383,,FIX CLASP ON CHAIN,,,1,0,40,0,40,VJ-MOD,,,,,,,"VJM-CC,",,
LO-80000727,46245,8,2026,JLO-199680,,JEWELRY CLEANING,,,1,0,10.82,0,10.82,VJ-LONG,,,,,,,"VJLV-CC,",,
AR-80162304,46245,8,2026,JAR-201717,,NON VAL G18K STAMP ROSE GOLD COLOR RING SIZE DOWN FROM 7 TO 5,,,1,0,170,0,170,VJ-ARDN,,,,,,,"VJA-CC,",,
VE-80161299,46245,8,2026,JVE-200473,,missing 1 diamond under warranty,,,1,0,0,0,0,VJ-EAST,,,,,,,,,
VM-80161412,46245,8,2026,JVM-200720,,217868.. RHODIUM,,,1,0,100,0,100,VJ-MOD,,,,,,,"VJM-CC,",,
VS-80161837,46245,8,2026,JVS-201033,,Chain solder,,,1,0,85,0,85,VJ-SERRA,,,,,,,"VJS-CC,",,
VM-80161786,46245,8,2026,JVM-201147,,REMOVE BRACELET FROM WATCH,,,1,0,20,0,20,VJ-MOD,,,,,,,"VJM-CC,",,
VR-80161656,46245,8,2026,JVR-200928,,SKU 224278Y SIZE TO 5,,,1,0,0,0,0,VJ-ROSE,,,,,,,,,
VS-80161838,46245,8,2026,JVS-201035,,CHAIN SOLDER,,,1,0,50,0,50,VJ-SERRA,,,,,,,"VJS-CASH,",,
VS-80161838,46245,8,2026,JVS-201034,,DAIMOND REPLACEMENT,,,1,0,100,0,100,VJ-SERRA,,,,,,,"VJS-CASH,",,
VL-80160917,46245,8,2026,JVL-200342,,ITEM LOBSTER CLASP 11.75X 4.25MM 14KTWG PUT ON CHAIN,,,1,0,250,0,250,VJ-LIV,,,,,,,"VJL-CASH,",,
VO-80162165,46245,8,2026,JVO-201348,,217811-SOLDER CRUCIFIX BACK ON THE CROSS,,,1,0,0,0,0,VJ-OAK,,,,,,,,,
ST-80162665,46245,8,2026,JST-202041,,REPLACEMENT OF 3 MELLEE,,,1,0,300,0,300,DBC-STOCK,,,,,,,"DBCST-CC,",,
AR-80162305,46245,8,2026,JAR-201718,,NV | SIZE DOWN FROM 7.5 TO 6.5 (CUSTOMER OK),,,1,0,180,0,180,VJ-ARDN,,,,,,,"VJA-CC,",,
VB-80161717,46245,8,2026,JVB-200762,,SOLDER CHAIN,,,1,0,80,0,80,VJ-BAKER,,,,,,,"VJB-CC,",,
FA-80161174,46245,8,2026,JFA-200330,,solder the chain,,,1,0,70,0,70,VJ-VAL,,,,,,,"VJVF-CC,",,
VE-80161456,46245,8,2026,JVE-200668,,"Tighten the stones ,they are loose, 2 bands",,,1,0,0,0,0,VJ-EAST,,,,,,,,,
